timestamp,src_ip,dst_ip,protocol,packet_length,ttl,tcp_flag,window_size,source_location,experiment_id,experiment_timestamp
1783080224.881888,192.168.1.31,216.239.38.223,UDP,1292,128,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080224.881972,192.168.1.31,216.239.38.223,UDP,124,128,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080224.891585,216.239.38.223,192.168.1.31,UDP,82,57,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080224.900722,216.239.38.223,192.168.1.31,UDP,1292,57,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080224.900725,216.239.38.223,192.168.1.31,UDP,1292,57,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080224.900727,216.239.38.223,192.168.1.31,UDP,849,57,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080224.900728,216.239.38.223,192.168.1.31,UDP,273,57,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080224.901058,192.168.1.31,216.239.38.223,UDP,136,128,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080224.901124,192.168.1.31,216.239.38.223,UDP,73,128,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080224.901245,192.168.1.31,216.239.38.223,UDP,1288,128,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080224.901265,192.168.1.31,216.239.38.223,UDP,269,128,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080224.909769,216.239.38.223,192.168.1.31,UDP,168,57,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080224.909772,216.239.38.223,192.168.1.31,UDP,71,57,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080224.909773,216.239.38.223,192.168.1.31,UDP,67,57,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080224.910069,192.168.1.31,216.239.38.223,UDP,73,128,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080225.067949,192.168.1.31,45.11.45.11,TCP,78,64,S,8192.0,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080225.350619,192.168.1.31,4.145.79.82,TCP,55,128,A,255.0,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080225.362165,4.145.79.82,192.168.1.31,TCP,66,114,A,7033.0,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080225.368201,216.239.38.223,192.168.1.31,UDP,1275,57,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080225.398687,192.168.1.31,216.239.38.223,UDP,78,128,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
